SmsId,Label
4887,spam
527,spam
398,spam
3075,spam
3130,spam
4366,spam
4438,spam
5228,spam
2738,spam
5384,spam
2641,spam
4125,spam
4927,spam
4539,spam
5166,spam
962,spam
3172,spam
3100,spam
3341,spam
3700,spam
2229,spam
2664,spam
2858,spam
4965,spam
1622,spam
539,spam
991,spam
3633,spam
4631,spam
1453,spam
660,spam
2563,spam
4106,spam
3131,spam
2404,spam
1632,spam
1191,spam
4759,spam
5242,spam
4445,spam
751,spam
3637,spam
5496,spam
2706,spam
5013,spam
2029,spam
5438,spam
3696,spam
4247,spam
140,spam
1933,spam
4213,spam
3723,spam
534,spam
4587,spam
152,spam
2357,spam
1559,spam
3544,spam
3731,spam
2527,spam
4645,spam
2060,spam
1571,spam
3657,spam
3711,spam
3170,spam
2615,spam
840,spam
1965,spam
4761,spam
629,spam
3438,spam
3558,spam
1511,spam
1567,spam
4166,spam
1680,spam
4298,spam
265,spam
2753,spam
2089,spam
402,spam
1332,spam
1419,spam
5096,spam
4540,spam
2749,spam
1870,spam
2731,spam
3030,spam
12,spam
3894,spam
1519,spam
2338,spam
4592,spam
487,spam
2272,spam
2716,spam
1551,spam
575,spam
4,spam
1942,spam
1067,spam
2755,spam
3192,spam
2027,spam
4760,spam
4624,spam
3054,spam
2382,spam
4127,spam
2526,spam
1789,spam
3276,spam
352,spam
3037,spam
1960,spam
1482,spam
5466,spam
44,spam
773,spam
4915,spam
546,spam
3871,spam
3845,spam
1087,spam
4198,spam
4655,spam
2513,spam
2106,spam
2240,spam
224,spam
3088,spam
3787,spam
3979,spam
4408,spam
5476,spam
4110,spam
737,spam
5500,spam
4971,spam
1990,spam
2630,spam
1718,spam
3200,spam
1581,spam
4712,spam
189,spam
2729,spam
895,spam
3369,spam
2875,spam
3741,spam
2933,spam
3317,spam
1853,spam
4296,spam
4745,spam
3282,spam
4264,spam
3812,spam
4769,spam
2443,spam
5388,spam
3429,spam
30,spam
1160,spam
1288,spam
333,spam
2611,spam
1921,spam
4152,spam
4584,spam
3654,spam
613,spam
2223,spam
3758,spam
675,spam
5328,spam
582,spam
3296,spam
4020,spam
3965,spam
4341,spam
841,spam
4325,spam
3040,spam
446,spam
2587,spam
2017,spam
5221,spam
3629,spam
3217,spam
1926,spam
4548,spam
1861,spam
4250,spam
1989,spam
2510,spam
4347,spam
1433,spam
1662,spam
1336,spam
1931,spam
396,spam
2901,spam
2817,spam
1261,spam
2084,spam
2883,spam
4695,spam
1831,spam
4550,spam
3913,spam
3013,spam
3619,spam
1696,spam
4532,spam
4620,spam
3664,spam
2812,spam
4104,spam
3698,spam
4382,spam
298,spam
3865,spam
1891,spam
1051,spam
992,spam
5224,spam
1593,spam
728,spam
3101,spam
4603,spam
4145,spam
1465,spam
2807,spam
2534,spam
33,spam
1513,spam
36,spam
4034,spam
2323,spam
2194,spam
49,spam
3488,spam
31,spam
1837,spam
3927,spam
380,spam
1290,spam
4779,spam
1281,spam
130,spam
3789,spam
3774,spam
4282,spam
3405,spam
3833,spam
1722,spam
2608,spam
2212,spam
1708,spam
4070,spam
4429,spam
3967,spam
3315,spam
3864,spam
3653,spam
2381,spam
2920,spam
735,spam
1996,spam
2776,spam
567,spam
5008,spam
2364,spam
4964,spam
1172,spam
5374,spam
5029,spam
125,spam
1363,spam
666,spam
634,spam
4839,spam
5341,spam
4660,spam
898,spam
5359,spam
464,spam
3442,spam
4181,spam
3916,spam
3857,spam
295,spam
558,spam
4036,spam
4359,spam
3367,spam
4195,spam
5024,spam
5117,spam
2239,spam
2539,spam
3539,spam
4926,spam
559,spam
1330,spam
910,spam
3202,spam
1248,spam
3485,spam
1521,spam
378,spam
4284,spam
5261,spam
2100,spam
601,spam
2406,spam
768,spam
914,spam
3479,spam
453,spam
3042,spam
2887,spam
3832,spam
2189,spam
291,spam
4096,spam
5522,spam
2049,spam
4339,spam
4865,spam
2043,spam
3855,spam
1034,spam
3061,spam
5444,spam
4738,spam
2267,spam
4453,spam
1285,spam
4329,spam
3167,spam
195,spam
3616,spam
598,spam
4661,spam
14,spam
2636,spam
3373,spam
4995,spam
3266,spam
1979,spam
4202,spam
4362,spam
4316,spam
4670,spam
2368,spam
4767,spam
5547,spam
158,spam
3435,spam
1800,spam
124,spam
2689,spam
170,spam
4647,spam
4641,spam
1091,spam
4504,spam
3935,spam
3858,spam
4459,spam
3972,spam
4960,spam
863,spam
1358,spam
3847,spam
5449,spam
2574,spam
2594,spam
2832,spam
2066,spam
1471,spam
2293,spam
2714,spam
4836,spam
2259,spam
1267,spam
2152,spam
2228,spam
2530,spam
3029,spam
918,spam
4081,spam
2873,spam
3352,spam
3536,spam
1022,spam
3889,spam
4612,spam
1867,spam
3370,spam
3757,spam
2519,spam
1328,spam
2325,spam
635,spam
4010,spam
843,spam
4985,spam
5309,spam
5273,spam
1824,spam
3358,spam
2201,spam
4623,spam
2165,spam
1839,spam
572,spam
4507,spam
4012,spam
5019,spam
491,spam
192,spam
4531,spam
2456,spam
531,spam
3149,spam
483,spam
5524,spam
1625,spam
1145,spam
4216,spam
5264,spam
3207,spam
415,spam
1014,spam
463,spam
1804,spam
541,spam
4477,spam
1753,spam
4336,spam
2992,spam
2455,spam
3953,spam
1343,spam
1461,spam
3251,spam
1765,spam
1829,spam
244,spam
4920,spam
1698,spam
5347,spam
899,spam
3606,spam
4100,spam
1108,spam
2188,spam
2102,spam
3565,spam
4233,spam
2955,spam
4121,spam
394,spam
2450,spam
1556,spam
1430,spam
5443,spam
1974,spam
5039,spam
3949,spam
5032,spam
2947,spam
347,spam
495,spam
2617,spam
4312,spam
3522,spam
4987,spam
5266,spam
5335,spam
2314,spam
218,spam
517,spam
2340,spam
1379,spam
2247,spam
3270,spam
2315,spam
5054,spam
812,spam
4999,spam
3780,spam
2655,spam
3343,spam
3262,spam
5248,spam
4724,spam
763,spam
4842,spam
1586,spam
2940,spam
3770,spam
1414,spam
896,spam
1620,spam
3986,spam
794,spam
4642,spam
282,spam
2551,spam
1742,spam
3636,spam
3063,spam
1013,spam
2401,spam
1545,spam
3884,spam
38,spam
3755,spam
428,spam
891,spam
4565,spam
727,spam
1299,spam
3559,spam
2839,spam
4622,spam
2372,spam
5124,spam
242,spam
5527,spam
2592,spam
651,spam
1569,spam
2669,spam
799,spam
1096,spam
562,spam
95,spam
4377,spam
1411,spam
5065,spam
4991,spam
4356,spam
461,spam
314,spam
4749,spam
3840,spam
4633,spam
2542,spam
2026,spam
552,spam
3520,spam
3431,spam
5353,spam
5404,spam
1475,spam
117,spam
2243,spam
4045,spam
3428,spam
1852,spam
2925,spam
5375,spam
556,spam
2686,spam
1855,spam
1002,spam
2928,spam
1721,spam
2265,spam
543,spam
3875,spam
1180,spam
5322,spam
2175,spam
2207,spam
4805,spam
1642,spam
3991,spam
5156,spam
3461,spam
5398,spam
5057,spam
203,spam
578,spam
4978,spam
3412,spam
1085,spam
1005,spam
3957,spam
3679,spam
4814,spam
269,spam
3853,spam
817,spam
2849,spam
4520,spam
636,spam
420,spam
4506,spam
245,spam
1683,spam
4885,spam
3225,spam
2906,spam
1270,spam
3944,spam
2124,spam
253,spam
